step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,1.2783828973770142,0.7484586929716399,,,,,,,,2026-09-21T00:25:37.8560000Z
2,1.7538602352142334,0.6725239616613419,,,,,,,,2026-09-21T00:25:44.1090000Z
3,1.9009742736816406,0.66875,,,,,,,,2026-09-21T00:25:49.7810000Z
4,1.4479422569274902,0.7360335195530726,,,,,,,,2026-09-21T00:25:57.5590000Z
5,1.4291282892227173,0.7389033942558747,,,,,,,,2026-09-21T00:26:05.0280000Z
6,2.0846049785614014,0.6576271186440678,,,,,,,,2026-09-21T00:26:14.9000000Z
7,1.3591206073760986,0.7433628318584071,,,,,,,,2026-09-21T00:26:25.3780000Z
8,1.5843232870101929,0.7012048192771084,,,,,,,,2026-09-21T00:26:29.8530000Z
9,1.9064478874206543,0.6256,,,,,,,,2026-09-21T00:26:33.4230000Z
10,1.6198325157165527,0.7247706422018348,,,,,,,,2026-09-21T00:26:39.0920000Z
11,1.715417742729187,0.7153846153846154,,,,,,,,2026-09-21T00:26:43.5610000Z
12,1.166977047920227,0.7758318739054291,,,,,,,,2026-09-21T00:26:48.9320000Z
13,1.7898592948913574,0.6929133858267716,,,,,,,,2026-09-21T00:26:53.1040000Z
14,1.6464836597442627,0.7233009708737864,,,,,,,,2026-09-21T00:26:56.3740000Z
15,1.6283037662506104,0.6852791878172588,,,,,,,,2026-09-21T00:27:01.4540000Z
16,2.2881991863250732,0.5818815331010453,,,,,,,,2026-09-21T00:27:04.7260000Z
17,1.585615873336792,0.7345971563981043,,,,,,,,2026-09-21T00:27:07.9990000Z
18,1.892008662223816,0.638728323699422,,,,,,,,2026-09-21T00:27:11.2800000Z
19,1.315427303314209,0.7221095334685599,,,,,,,,2026-09-21T00:27:14.5490000Z
20,1.4405204057693481,0.7148362235067437,,,,,,,,2026-09-21T00:27:18.4250000Z
21,1.273059606552124,0.7878787878787878,,,,,,,,2026-09-21T00:27:21.4030000Z
22,1.3779165744781494,0.7504798464491362,,,,,,,,2026-09-21T00:27:32.4800000Z
23,1.0817599296569824,0.7839643652561247,,,,,,,,2026-09-21T00:27:35.7560000Z
24,1.6010602712631226,0.6979591836734694,,,,,,,,2026-09-21T00:27:39.9290000Z
25,1.9044721126556396,0.6728395061728395,,,,,,,,2026-09-21T00:27:43.8010000Z
26,1.2469934225082397,0.7454128440366973,,,,,,,,2026-09-21T00:27:51.5830000Z
27,1.7831696271896362,0.6472303206997084,,,,,,,,2026-09-21T00:27:54.8670000Z
28,1.4696298837661743,0.7265469061876247,,,,,,,,2026-09-21T00:27:58.1460000Z
29,1.9903359413146973,0.5916666666666667,,,,,,,,2026-09-21T00:27:59.3240000Z
30,1.6666158437728882,0.691304347826087,,,,,,,,2026-09-21T00:28:01.7000000Z
31,1.0945090055465698,0.7569331158238173,,,,,,,,2026-09-21T00:28:07.3750000Z
32,1.2751095294952393,0.7533632286995515,,,,,,,,2026-09-21T00:28:10.3580000Z
33,1.1934019327163696,0.7544303797468355,,,,,,,,2026-09-21T00:28:13.6390000Z
34,1.5912611484527588,0.6221198156682027,,,,,,,,2026-09-21T00:28:16.9060000Z
35,1.2251347303390503,0.7240853658536586,,,,,,,,2026-09-21T00:28:18.0730000Z
36,1.4121514558792114,0.7012658227848101,,,,,,,,2026-09-21T00:28:19.2450000Z
37,1.2295087575912476,0.7313084112149533,,,,,,,,2026-09-21T00:28:20.7220000Z
38,1.596705675125122,0.65,,,,,,,,2026-09-21T00:28:24.0050000Z
39,1.5621342658996582,0.651356993736952,,,,,,,,2026-09-21T00:28:27.2900000Z
40,1.505249261856079,0.6735294117647059,,,,,,,,2026-09-21T00:28:30.5720000Z
41,1.08583664894104,0.7294994675186368,,,,,,,,2026-09-21T00:28:34.7730000Z
42,1.2552099227905273,0.7201166180758017,,,,,,,,2026-09-21T00:28:36.2450000Z
43,1.2597196102142334,0.7049608355091384,,,,,,,,2026-09-21T00:28:38.6230000Z
44,1.1546603441238403,0.7322335025380711,,,,,,,,2026-09-21T00:28:41.9330000Z
45,1.7210206985473633,0.5918762088974855,,,,,,,,2026-09-21T00:28:45.2110000Z
46,0.905644953250885,0.7875,,,,,,,,2026-09-21T00:28:49.9930000Z
47,1.0709009170532227,0.7673860911270983,,,,,,,,2026-09-21T00:28:54.2120000Z
48,1.1167163848876953,0.7865612648221344,,,,,,,,2026-09-21T00:28:55.3970000Z
49,1.0951707363128662,0.7448275862068966,,,,,,,,2026-09-21T00:28:58.9780000Z
50,0.8992422819137573,0.7730496453900709,,,,,,,,2026-09-21T00:29:00.1550000Z
51,1.263068437576294,0.7132352941176471,,,,,,,,2026-09-21T00:29:01.3650000Z
52,1.0231879949569702,0.757455268389662,,,,,,,,2026-09-21T00:29:04.6350000Z
53,1.7373852729797363,0.6421161825726142,,,,,,,,2026-09-21T00:29:08.2110000Z
54,0.7333357334136963,0.8173913043478261,,,,,,,,2026-09-21T00:29:11.4960000Z
55,1.7003867626190186,0.6180422264875239,,,,,,,,2026-09-21T00:29:12.6720000Z
56,1.0778483152389526,0.7523219814241486,,,,,,,,2026-09-21T00:29:15.9520000Z
57,1.2404451370239258,0.720108695652174,,,,,,,,2026-09-21T00:29:17.4240000Z
58,1.14765202999115,0.7469512195121951,,,,,,,,2026-09-21T00:29:20.7130000Z
59,0.8311417102813721,0.7801652892561983,,,,,,,,2026-09-21T00:29:23.9860000Z
60,0.9378311038017273,0.7863013698630137,,,,,,,,2026-09-21T00:29:27.5740000Z
61,1.664788842201233,0.631578947368421,,,,,,,,2026-09-21T00:29:32.3480000Z
62,0.9401100277900696,0.7841530054644809,,,,,,,,2026-09-21T00:29:33.5200000Z
63,1.0729678869247437,0.754601226993865,,,,,,,,2026-09-21T00:29:36.7960000Z
64,1.1001681089401245,0.7543035993740219,,,,,,,,2026-09-21T00:29:40.3720000Z
65,0.8055627346038818,0.7930327868852459,,,,,,,,2026-09-21T00:29:41.5480000Z
66,0.7972996234893799,0.7985074626865671,,,,,,,,2026-09-21T00:29:44.8600000Z
67,1.1983689069747925,0.7344262295081967,,,,,,,,2026-09-21T00:29:46.0370000Z
68,0.6998931169509888,0.8333333333333334,,,,,,,,2026-09-21T00:29:49.3370000Z
69,0.5675333142280579,0.8680738786279684,,,,,,,,2026-09-21T00:29:52.6200000Z
70,1.2460566759109497,0.7394859813084113,,,,,,,,2026-09-21T00:29:57.7220000Z
71,1.0024237632751465,0.7771535580524345,,,,,,,,2026-09-21T00:29:58.8980000Z
72,0.8487644195556641,0.7818181818181819,,,,,,,,2026-09-21T00:30:00.0730000Z
73,1.0333524942398071,0.740484429065744,,,,,,,,2026-09-21T00:30:02.4490000Z
74,0.6104298830032349,0.8307692307692308,,,,,,,,2026-09-21T00:30:05.7240000Z
75,0.8802148103713989,0.7945736434108527,,,,,,,,2026-09-21T00:30:09.0020000Z
76,0.5300729870796204,0.8867924528301887,,,,,,,,2026-09-21T00:30:10.7810000Z
77,0.5203042030334473,0.8577929465301479,,,,,,,,2026-09-21T00:30:13.7940000Z
78,0.7085334062576294,0.827930174563591,,,,,,,,2026-09-21T00:30:14.9670000Z
79,1.1293456554412842,0.7415730337078652,,,,,,,,2026-09-21T00:30:16.1410000Z
80,1.5219299793243408,0.6369747899159663,,,,,,,,2026-09-21T00:30:17.3130000Z
81,1.2659837007522583,0.7528868360277137,,,,,,,,2026-09-21T00:30:20.8890000Z
82,0.6679821014404297,0.8568329718004338,,,,,,,,2026-09-21T00:30:22.0610000Z
83,1.1752240657806396,0.7196969696969697,,,,,,,,2026-09-21T00:30:25.3680000Z
84,0.5780081152915955,0.8617886178861789,,,,,,,,2026-09-21T00:30:26.5500000Z
85,0.5092936158180237,0.8870056497175142,,,,,,,,2026-09-21T00:30:27.7460000Z
86,0.479431688785553,0.9035812672176309,,,,,,,,2026-09-21T00:30:29.2200000Z
87,0.9657008647918701,0.7601547388781431,,,,,,,,2026-09-21T00:30:30.3970000Z
88,0.3730032742023468,0.8995901639344263,,,,,,,,2026-09-21T00:30:33.7040000Z
89,0.5910871624946594,0.8663028649386084,,,,,,,,2026-09-21T00:30:34.8860000Z
90,0.4581397473812103,0.8838383838383839,,,,,,,,2026-09-21T00:30:38.1960000Z
